symbol,full_name,market_cap,trailing_pe,price_sales,current_price
NVDA,NVIDIA Corporation,4380976218112,36.785713,20.28812,180.25
AAPL,Apple Inc.,3676245065728,31.660759,8.439168,250.12
TSLA,"Tesla, Inc.",1467951349760,355.63635,15.4803095,391.2
GOOGL,Alphabet Inc.,3656681259008,27.937155,9.077345,302.28
AMZN,"Amazon.com, Inc.",2229321072640,29.00419,3.109564,207.67
MSFT,Microsoft Corporation,2939877064704,24.752815,9.624646,395.55
META,"Meta Platforms, Inc.",1552413491200,26.104212,7.724757,613.71
AAL,American Airlines Group Inc.,6801137152,60.588234,0.12448771,10.3
INTC,Intel Corporation,228629315584,,4.3257585,45.77
PLTR,Palantir Technologies Inc.,361023438848,239.60316,80.667595,150.95
SOFI,"SoFi Technologies, Inc.",22648686592,45.538464,6.32109,17.76
AMD,"Advanced Micro Devices, Inc.",315305164800,74.09579,9.102606,193.39
NFLX,"Netflix, Inc.",404294467584,37.671936,8.947926,95.31
PYPL,"PayPal Holdings, Inc.",42010775552,8.299446,1.2664529,44.9
BAC,Bank of America Corporation,341172617216,12.262467,3.1760032,46.72
