symbol,report_date,total_revenue,gross_profit,operating_income,net_income,basic_eps,total_assets,total_liabilities,current_assets,current_liabilities,inventory
NVDA,2026-01-31,215938000000.0,153463000000.0,130387000000.0,120067000000.0,4.93,206803000000.0,49510000000.0,125605000000.0,32163000000.0,21403000000.0
NVDA,2025-01-31,130497000000.0,97858000000.0,81453000000.0,72880000000.0,2.97,111601000000.0,32274000000.0,80126000000.0,18047000000.0,10080000000.0
NVDA,2024-01-31,60922000000.0,44301000000.0,32972000000.0,29760000000.0,1.21,65728000000.0,22750000000.0,44345000000.0,10631000000.0,5282000000.0
NVDA,2023-01-31,26974000000.0,15356000000.0,5577000000.0,4368000000.0,0.18,41182000000.0,19081000000.0,23073000000.0,6563000000.0,5159000000.0
NVDA,2022-01-31,,,,,,,,,,
AAPL,2025-09-30,416161000000.0,195201000000.0,133050000000.0,112010000000.0,7.49,359241000000.0,285508000000.0,147957000000.0,165631000000.0,5718000000.0
AAPL,2024-09-30,391035000000.0,180683000000.0,123216000000.0,93736000000.0,6.11,364980000000.0,308030000000.0,152987000000.0,176392000000.0,7286000000.0
AAPL,2023-09-30,383285000000.0,169148000000.0,114301000000.0,96995000000.0,6.16,352583000000.0,290437000000.0,143566000000.0,145308000000.0,6331000000.0
AAPL,2022-09-30,394328000000.0,170782000000.0,119437000000.0,99803000000.0,6.15,352755000000.0,302083000000.0,135405000000.0,153982000000.0,4946000000.0
AAPL,2021-09-30,,,,,,,,,,
TSLA,2025-12-31,94827000000.0,17094000000.0,4849000000.0,3794000000.0,1.176525,137806000000.0,54941000000.0,68642000000.0,31714000000.0,12392000000.0
TSLA,2024-12-31,97690000000.0,17450000000.0,7760000000.0,7130000000.0,2.23,122070000000.0,48390000000.0,58360000000.0,28821000000.0,12017000000.0
TSLA,2023-12-31,96773000000.0,17660000000.0,8891000000.0,14999000000.0,4.725697,106618000000.0,43009000000.0,49616000000.0,28748000000.0,13626000000.0
TSLA,2022-12-31,81462000000.0,20853000000.0,13832000000.0,12583000000.0,4.02,82338000000.0,36440000000.0,40917000000.0,26709000000.0,12839000000.0
TSLA,2021-12-31,,,,,,,,,,
GOOGL,2025-12-31,402836000000.0,240301000000.0,129039000000.0,132170000000.0,10.91,595281000000.0,180016000000.0,206038000000.0,102745000000.0,
GOOGL,2024-12-31,350018000000.0,203712000000.0,112390000000.0,100118000000.0,8.13,450256000000.0,125172000000.0,163711000000.0,89122000000.0,
GOOGL,2023-12-31,307394000000.0,174062000000.0,84293000000.0,73795000000.0,5.84,402392000000.0,119013000000.0,171530000000.0,81814000000.0,
GOOGL,2022-12-31,282836000000.0,156633000000.0,74842000000.0,59972000000.0,4.59,365264000000.0,109120000000.0,164795000000.0,69300000000.0,2670000000.0
GOOGL,2021-12-31,,,,,,,,,,1170000000.0
AMZN,2025-12-31,716924000000.0,360510000000.0,79975000000.0,77670000000.0,7.29,818042000000.0,406977000000.0,229083000000.0,218005000000.0,38325000000.0
AMZN,2024-12-31,637959000000.0,311671000000.0,68593000000.0,59248000000.0,5.66,624894000000.0,338924000000.0,190867000000.0,179431000000.0,34214000000.0
AMZN,2023-12-31,574785000000.0,270046000000.0,36852000000.0,30425000000.0,2.95,527854000000.0,325979000000.0,172351000000.0,164917000000.0,33318000000.0
AMZN,2022-12-31,513983000000.0,225152000000.0,12248000000.0,-2722000000.0,-0.27,462675000000.0,316632000000.0,146791000000.0,155393000000.0,34405000000.0
MSFT,2025-06-30,281724000000.0,193893000000.0,128528000000.0,101832000000.0,13.7,619003000000.0,275524000000.0,191131000000.0,141218000000.0,938000000.0
MSFT,2024-06-30,245122000000.0,171008000000.0,109433000000.0,88136000000.0,11.86,512163000000.0,243686000000.0,159734000000.0,125286000000.0,1246000000.0
MSFT,2023-06-30,211915000000.0,146052000000.0,88523000000.0,72361000000.0,9.72,411976000000.0,205753000000.0,184257000000.0,104149000000.0,2500000000.0
MSFT,2022-06-30,198270000000.0,135620000000.0,83383000000.0,72738000000.0,9.7,364840000000.0,198298000000.0,169684000000.0,95082000000.0,3742000000.0
META,2025-12-31,200966000000.0,164791000000.0,83276000000.0,60458000000.0,,366021000000.0,148778000000.0,108722000000.0,41836000000.0,0.0
META,2024-12-31,164501000000.0,134340000000.0,69380000000.0,62360000000.0,24.61,276054000000.0,93417000000.0,100045000000.0,33596000000.0,0.0
META,2023-12-31,134902000000.0,108943000000.0,46751000000.0,39098000000.0,15.19,229623000000.0,76455000000.0,85365000000.0,31960000000.0,0.0
META,2022-12-31,116609000000.0,91360000000.0,28944000000.0,23200000000.0,8.63,185727000000.0,60014000000.0,59549000000.0,27026000000.0,0.0
META,2021-12-31,,,,,13.99,,,,,0.0
AAL,2025-12-31,54633000000.0,10471000000.0,1626000000.0,111000000.0,0.17,61774000000.0,65501000000.0,12205000000.0,24492000000.0,2792000000.0
AAL,2024-12-31,54211000000.0,11465000000.0,3224000000.0,846000000.0,1.29,61783000000.0,65760000000.0,13154000000.0,24295000000.0,2638000000.0
AAL,2023-12-31,52788000000.0,11810000000.0,4005000000.0,822000000.0,1.26,63058000000.0,68260000000.0,13572000000.0,22062000000.0,2400000000.0
AAL,2022-12-31,48971000000.0,9037000000.0,1800000000.0,127000000.0,0.2,64716000000.0,70515000000.0,15269000000.0,21496000000.0,2279000000.0
AAL,2021-12-31,,,,,,,,,,
INTC,2025-12-31,52853000000.0,18375000000.0,-23000000.0,-267000000.0,-0.06,211429000000.0,85069000000.0,63688000000.0,31575000000.0,11618000000.0
INTC,2024-12-31,53101000000.0,17345000000.0,-4708000000.0,-18756000000.0,-4.38,196485000000.0,91453000000.0,47324000000.0,35666000000.0,12198000000.0
INTC,2023-12-31,54228000000.0,21711000000.0,31000000.0,1689000000.0,0.4,191572000000.0,81607000000.0,43269000000.0,28053000000.0,11127000000.0
INTC,2022-12-31,63054000000.0,26866000000.0,2336000000.0,8014000000.0,1.95,182103000000.0,78817000000.0,50407000000.0,32155000000.0,13224000000.0
PLTR,2025-12-31,4475446000.0,3686269000.0,1414015000.0,1625033000.0,0.69,8900392000.0,1412381000.0,8358174000.0,1175581000.0,0.0
PLTR,2024-12-31,2865507000.0,2299517000.0,310403000.0,462190000.0,0.210307,6340884000.0,1246477000.0,5934289000.0,996018000.0,0.0
PLTR,2023-12-31,2225012000.0,1793907000.0,119966000.0,209825000.0,0.100146,4522425000.0,961460000.0,4138618000.0,746018000.0,0.0
PLTR,2022-12-31,1905871000.0,1497322000.0,-161201000.0,-373705000.0,-0.180263,3461239000.0,818802000.0,3041577000.0,587941000.0,0.0
PLTR,2021-12-31,,,,,,,,,,0.0
SOFI,2025-12-31,3613354000.0,,,481320000.0,0.42,50660478000.0,40170983000.0,,,0.0
SOFI,2024-12-31,2612342000.0,,,498665000.0,0.46,36250951000.0,29725817000.0,,,0.0
SOFI,2023-12-31,2108215000.0,,,-300742000.0,-0.36,30074858000.0,24519872000.0,,,0.0
SOFI,2022-12-31,1573535000.0,,,-320407000.0,-0.4,19007675000.0,13479199000.0,,,0.0
SOFI,2021-12-31,,,,,,,,,,0.0
AMD,2025-12-31,34639000000.0,17152000000.0,3694000000.0,4335000000.0,2.67,76926000000.0,13927000000.0,26947000000.0,9455000000.0,7920000000.0
AMD,2024-12-31,25785000000.0,12725000000.0,2086000000.0,1641000000.0,1.01,69226000000.0,11658000000.0,19049000000.0,7281000000.0,5734000000.0
AMD,2023-12-31,22680000000.0,10460000000.0,401000000.0,854000000.0,0.53,67885000000.0,11993000000.0,16768000000.0,6689000000.0,4351000000.0
AMD,2022-12-31,23601000000.0,10603000000.0,1264000000.0,1320000000.0,0.85,67580000000.0,12830000000.0,15019000000.0,6369000000.0,3771000000.0
AMD,2021-12-31,,,,,,,,,,
NFLX,2025-12-31,45183036000.0,21907707000.0,13326603000.0,10981201000.0,2.58,55596993000.0,28981505000.0,13020191000.0,10980930000.0,0.0
NFLX,2024-12-31,39000966000.0,17962502000.0,10417614000.0,8711631000.0,2.03,53630374000.0,28886807000.0,13100379000.0,10755400000.0,0.0
NFLX,2023-12-31,33723297000.0,14007929000.0,6954003000.0,5407990000.0,1.22,48731992000.0,28143679000.0,9918133000.0,8860655000.0,0.0
NFLX,2022-12-31,31615550000.0,12447265000.0,5632831000.0,4491924000.0,1.01,48594768000.0,27817367000.0,9266473000.0,7930974000.0,0.0
NFLX,2021-12-31,,,,,,,,,,0.0
PYPL,2025-12-31,33172000000.0,15465000000.0,6396000000.0,5233000000.0,5.46,80173000000.0,59917000000.0,59759000000.0,46443000000.0,0.0
PYPL,2024-12-31,31797000000.0,14658000000.0,5763000000.0,4147000000.0,4.03,78725000000.0,58308000000.0,58206000000.0,45490000000.0,0.0
PYPL,2023-12-31,29771000000.0,13704000000.0,4944000000.0,4246000000.0,3.85,82166000000.0,61115000000.0,62569000000.0,48466000000.0,0.0
PYPL,2022-12-31,27518000000.0,13773000000.0,4044000000.0,2419000000.0,2.1,78624000000.0,58350000000.0,57424000000.0,45008000000.0,0.0
BAC,2025-12-31,113097000000.0,,,30509000000.0,3.86,3411738000000.0,3108495000000.0,,,0.0
BAC,2024-12-31,105856000000.0,,,26973000000.0,3.25,3261299000000.0,2967336000000.0,,,0.0
BAC,2023-12-31,102769000000.0,,,26305000000.0,3.1,3180151000000.0,2888505000000.0,,,0.0
BAC,2022-12-31,94950000000.0,,,27528000000.0,3.21,3051375000000.0,2778178000000.0,,,0.0
BAC,2021-12-31,,,,,,,,,,0.0
